expense_id,expense_date,category,department,description,amount
EXP-00259,2024-06-26,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3552.65
EXP-00260,2024-06-26,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2132.31
EXP-00261,2024-06-26,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1826.31
EXP-00262,2024-06-27,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3586.24
EXP-00263,2024-06-27,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2153.8
EXP-00264,2024-06-27,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1841.59
EXP-00265,2024-06-28,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3577.16
EXP-00266,2024-06-28,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2289.7
EXP-00267,2024-06-28,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1897.93
EXP-00268,2024-06-29,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3525.76
EXP-00269,2024-06-29,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2279.95
EXP-00270,2024-06-29,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1928.86
EXP-00271,2024-06-30,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3490.01
EXP-00272,2024-06-30,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2147.55
EXP-00273,2024-06-30,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1897.24
EXP-00274,2024-07-01,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3598.93
EXP-00275,2024-07-01,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2186.35
EXP-00276,2024-07-01,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1876.18
EXP-00277,2024-07-02,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3570.37
EXP-00278,2024-07-02,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2178.18
EXP-00279,2024-07-02,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1942.99
EXP-00280,2024-07-03,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3528.09
EXP-00281,2024-07-03,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2197.22
EXP-00282,2024-07-03,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1865.87
EXP-00283,2024-07-04,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3487.44
EXP-00284,2024-07-04,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2204.03
EXP-00285,2024-07-04,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1873.26
EXP-00286,2024-07-05,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3505.16
EXP-00287,2024-07-05,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2127.0
EXP-00288,2024-07-05,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1906.7
EXP-00289,2024-07-06,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3504.54
EXP-00290,2024-07-06,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2206.37
EXP-00291,2024-07-06,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1825.08
EXP-00292,2024-07-07,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3478.64
EXP-00293,2024-07-07,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2264.64
EXP-00294,2024-07-07,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1869.76
EXP-00295,2024-07-08,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3577.53
EXP-00296,2024-07-08,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2134.24
EXP-00297,2024-07-08,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1811.13
EXP-00298,2024-07-09,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3432.89
EXP-00299,2024-07-09,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2272.98
EXP-00300,2024-07-09,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1829.33
EXP-00301,2024-07-10,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3576.21
EXP-00302,2024-07-10,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2239.71
EXP-00303,2024-07-10,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1909.54
EXP-00304,2024-07-11,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3559.54
EXP-00305,2024-07-11,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2265.09
EXP-00306,2024-07-11,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1863.86
EXP-00307,2024-07-12,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3402.75
EXP-00308,2024-07-12,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2158.88
EXP-00309,2024-07-12,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1940.64
EXP-00310,2024-07-13,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3514.5
EXP-00311,2024-07-13,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2188.49
EXP-00312,2024-07-13,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1824.85
EXP-00313,2024-07-14,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3565.88
EXP-00314,2024-07-14,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2299.42
EXP-00315,2024-07-14,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1935.22
EXP-00316,2024-07-15,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3542.6
EXP-00317,2024-07-15,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2196.75
EXP-00318,2024-07-15,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1921.96
EXP-00319,2024-07-16,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3526.47
EXP-00320,2024-07-16,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2232.73
EXP-00321,2024-07-16,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1817.08
EXP-00322,2024-07-17,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3415.33
EXP-00323,2024-07-17,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2181.06
EXP-00324,2024-07-17,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1930.05
EXP-00325,2024-07-18,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3546.02
EXP-00326,2024-07-18,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2216.08
EXP-00327,2024-07-18,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1894.25
EXP-00328,2024-07-19,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3494.96
EXP-00329,2024-07-19,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2220.99
EXP-00330,2024-07-19,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1822.26
EXP-00331,2024-07-20,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3490.52
EXP-00332,2024-07-20,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2220.09
EXP-00333,2024-07-20,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1914.6
EXP-00334,2024-07-21,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3413.57
EXP-00335,2024-07-21,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2198.53
EXP-00336,2024-07-21,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1805.44
EXP-00337,2024-07-22,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3495.71
EXP-00338,2024-07-22,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2277.18
EXP-00339,2024-07-22,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1872.35
EXP-00340,2024-07-23,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3529.41
EXP-00341,2024-07-23,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2115.26
EXP-00342,2024-07-23,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1804.09
EXP-00343,2024-07-24,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3472.62
EXP-00344,2024-07-24,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2107.95
EXP-00345,2024-07-24,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1801.12
EXP-00346,2024-07-25,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3480.39
EXP-00347,2024-07-25,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2154.96
EXP-00348,2024-07-25,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1888.73
EXP-00349,2024-07-26,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3485.78
EXP-00350,2024-07-26,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2199.18
EXP-00351,2024-07-26,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1884.63
EXP-00352,2024-07-27,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3574.83
EXP-00353,2024-07-27,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2232.53
EXP-00354,2024-07-27,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1810.04
EXP-00355,2024-07-28,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3564.39
EXP-00356,2024-07-28,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2293.05
EXP-00357,2024-07-28,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1904.62
EXP-00358,2024-07-29,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3456.05
EXP-00359,2024-07-29,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2161.05
EXP-00360,2024-07-29,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1825.73
EXP-00361,2024-07-30,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3406.22
EXP-00362,2024-07-30,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2176.04
EXP-00363,2024-07-30,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1887.53
EXP-00364,2024-07-31,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3590.62
EXP-00365,2024-07-31,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2299.99
EXP-00366,2024-07-31,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1914.27
EXP-00367,2024-08-01,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3556.38
EXP-00368,2024-08-01,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2287.54
EXP-00369,2024-08-01,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1926.39
EXP-00370,2024-08-02,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3451.83
EXP-00371,2024-08-02,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2151.69
EXP-00372,2024-08-02,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1940.44
EXP-00373,2024-08-03,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3445.92
EXP-00374,2024-08-03,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2283.85
EXP-00375,2024-08-03,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1938.02
EXP-00376,2024-08-04,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3469.97
EXP-00377,2024-08-04,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2188.06
EXP-00378,2024-08-04,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1882.78
EXP-00379,2024-08-05,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3414.31
EXP-00380,2024-08-05,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2191.57
EXP-00381,2024-08-05,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1857.79
EXP-00382,2024-08-06,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3469.67
EXP-00383,2024-08-06,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2176.61
EXP-00384,2024-08-06,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1929.79
EXP-00385,2024-08-07,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3518.31
EXP-00386,2024-08-07,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2159.9
EXP-00387,2024-08-07,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1804.41
EXP-00388,2024-08-08,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3575.57
EXP-00389,2024-08-08,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2193.76
EXP-00390,2024-08-08,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1858.66
EXP-00391,2024-08-09,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3558.17
EXP-00392,2024-08-09,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2135.25
EXP-00393,2024-08-09,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1840.4
EXP-00394,2024-08-10,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3455.62
EXP-00395,2024-08-10,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2253.65
EXP-00396,2024-08-10,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1854.42
EXP-00397,2024-08-11,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3409.88
EXP-00398,2024-08-11,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2247.06
EXP-00399,2024-08-11,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1909.1
EXP-00400,2024-08-12,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3582.53
EXP-00401,2024-08-12,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2197.92
EXP-00402,2024-08-12,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1945.91
EXP-00403,2024-08-13,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3500.76
EXP-00404,2024-08-13,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2211.39
EXP-00405,2024-08-13,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1869.95
EXP-00406,2024-08-14,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3559.86
EXP-00407,2024-08-14,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2151.4
EXP-00408,2024-08-14,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1903.05
EXP-00409,2024-08-15,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3505.84
EXP-00410,2024-08-15,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2267.42
EXP-00411,2024-08-15,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1877.12
EXP-00412,2024-08-16,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3411.78
EXP-00413,2024-08-16,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2243.57
EXP-00414,2024-08-16,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1844.54
EXP-00415,2024-08-17,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3488.18
EXP-00416,2024-08-17,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2228.65
EXP-00417,2024-08-17,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1947.25
EXP-00418,2024-08-18,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3490.68
EXP-00419,2024-08-18,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2112.94
EXP-00420,2024-08-18,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1906.22
EXP-00421,2024-08-19,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3475.57
EXP-00422,2024-08-19,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2111.85
EXP-00423,2024-08-19,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1930.77
EXP-00424,2024-08-20,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3402.42
EXP-00425,2024-08-20,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2101.03
EXP-00426,2024-08-20,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1918.47
EXP-00427,2024-08-21,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3470.12
EXP-00428,2024-08-21,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2148.24
EXP-00429,2024-08-21,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1874.04
EXP-00430,2024-08-22,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3538.6
EXP-00431,2024-08-22,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2158.98
EXP-00432,2024-08-22,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1885.88
EXP-00433,2024-08-23,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3538.61
EXP-00434,2024-08-23,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2197.93
EXP-00435,2024-08-23,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1915.37
EXP-00436,2024-08-24,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3544.16
EXP-00437,2024-08-24,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2203.66
EXP-00438,2024-08-24,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1923.62
EXP-00439,2024-08-25,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3423.54
EXP-00440,2024-08-25,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2194.48
EXP-00441,2024-08-25,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1904.74
EXP-00442,2024-08-26,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3524.35
EXP-00443,2024-08-26,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2118.79
EXP-00444,2024-08-26,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1806.35
EXP-00445,2024-08-27,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3460.48
EXP-00446,2024-08-27,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2208.77
EXP-00447,2024-08-27,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1875.92
EXP-00448,2024-08-28,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3436.14
EXP-00449,2024-08-28,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2242.74
EXP-00450,2024-08-28,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1801.35
EXP-00451,2024-08-29,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3435.71
EXP-00452,2024-08-29,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2222.86
EXP-00453,2024-08-29,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1843.41
EXP-00454,2024-08-30,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3518.65
EXP-00455,2024-08-30,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2107.42
EXP-00456,2024-08-30,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1819.07
EXP-00457,2024-08-31,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3557.06
EXP-00458,2024-08-31,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2272.82
EXP-00459,2024-08-31,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1822.55
EXP-00460,2024-09-01,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3417.43
EXP-00461,2024-09-01,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2203.04
EXP-00462,2024-09-01,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1948.89
EXP-00463,2024-09-02,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3556.72
EXP-00464,2024-09-02,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2294.71
EXP-00465,2024-09-02,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1829.55
EXP-00466,2024-09-03,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3563.62
EXP-00467,2024-09-03,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2140.51
EXP-00468,2024-09-03,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1871.27
EXP-00469,2024-09-04,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3494.32
EXP-00470,2024-09-04,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2138.63
EXP-00471,2024-09-04,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1853.6
EXP-00472,2024-09-05,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3456.09
EXP-00473,2024-09-05,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2117.84
EXP-00474,2024-09-05,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1817.13
EXP-00475,2024-09-06,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3418.82
EXP-00476,2024-09-06,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2162.19
EXP-00477,2024-09-06,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1918.26
EXP-00478,2024-09-07,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3536.66
EXP-00479,2024-09-07,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2232.36
EXP-00480,2024-09-07,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1807.49
EXP-00481,2024-09-08,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3591.55
EXP-00482,2024-09-08,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2112.72
EXP-00483,2024-09-08,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1899.75
EXP-00484,2024-09-09,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3443.92
EXP-00485,2024-09-09,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2116.3
EXP-00486,2024-09-09,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1938.26
EXP-00487,2024-09-10,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3583.35
EXP-00488,2024-09-10,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2106.53
EXP-00489,2024-09-10,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1806.62
EXP-00490,2024-09-11,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3512.09
EXP-00491,2024-09-11,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2248.9
EXP-00492,2024-09-11,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1911.84
EXP-00493,2024-09-12,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3549.22
EXP-00494,2024-09-12,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2178.13
EXP-00495,2024-09-12,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1838.92
EXP-00496,2024-09-13,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3426.6
EXP-00497,2024-09-13,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2268.35
EXP-00498,2024-09-13,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1817.92
EXP-00499,2024-09-14,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3429.85
EXP-00500,2024-09-14,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2151.94
EXP-00501,2024-09-14,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1867.87
EXP-00502,2024-09-15,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3595.64
EXP-00503,2024-09-15,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2246.28
EXP-00504,2024-09-15,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1853.1
EXP-00505,2024-09-16,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3438.09
EXP-00506,2024-09-16,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2255.69
EXP-00507,2024-09-16,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1905.74
EXP-00508,2024-09-17,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3542.56
EXP-00509,2024-09-17,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2111.07
EXP-00510,2024-09-17,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1861.91
EXP-00511,2024-09-18,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3566.77
EXP-00512,2024-09-18,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2261.41
EXP-00513,2024-09-18,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1870.02
EXP-00514,2024-09-19,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3416.06
EXP-00515,2024-09-19,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2236.2
EXP-00516,2024-09-19,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1866.62
